Gender,State,MaritalStatus,HasChild,Salary,Rate,SingleExemp,MarriedExemp,ChildExemp
F,SC,M,Y,30,37.0,0,6600,3300
M,GA,M,Y,34,32.0,0,5400,3000
M,NJ,S,N,44,13.0,1000,0,0
M,NM,S,Y,37,28.0,3300,0,3300
M,MA,S,Y,14,28.0,3575,0,1000
M,LA,S,Y,14,32.0,4500,0,1000
F,UT,S,Y,39,37.0,2475,0,2475
M,LA,S,Y,31,32.0,4500,0,1000
M,WY,M,N,44,0.0,0,0,0
F,ID,S,N,20,41.0,3300,0,0
F,MI,S,Y,49,20.0,3100,0,3100
M,CO,S,Y,10,24.0,0,0,0
F,WA,M,N,30,0.0,0,0,0
M,NH,M,N,36,0.0,0,0,0
F,CA,S,N,17,42.0,87,0,0
M,NC,M,N,12,33.0,0,6600,0
M,NE,M,Y,32,36.0,0,206,103
M,AR,M,Y,32,37.0,0,40,20
M,MN,S,N,33,42.0,3300,0,0
F,MT,S,N,23,37.0,1900,0,0
F,NV,M,Y,15,0.0,0,0,0
M,WA,S,Y,21,0.0,0,0,0
M,SD,M,Y,28,0.0,0,0,0
F,KS,S,N,37,34.0,2250,0,0
M,ME,M,N,25,45.0,0,5700,0
M,UT,M,Y,4,37.0,0,4950,2475
F,UT,S,Y,44,37.0,2475,0,2475
F,CT,S,N,48,26.0,12750,0,0
F,NC,S,Y,28,37.0,3300,0,3300
M,GA,S,N,47,32.0,2700,0,0
F,MI,M,N,44,20.0,0,6200,0
M,CT,S,Y,36,26.0,12750,0,0
F,ID,S,Y,13,41.0,3300,0,3300
M,KY,M,Y,37,32.0,0,40,20
M,MO,M,Y,41,32.0,0,4200,1200
M,ID,M,Y,42,41.0,0,6600,3300
M,PR,S,N,9,0.0,0,0,0
M,AK,S,Y,5,0.0,0,0,0
M,FL,M,Y,15,0.0,0,0,0
M,MO,S,N,1,17.0,2100,0,0
M,SD,M,Y,27,0.0,0,0,0
F,OR,M,Y,6,48.0,0,318,159
F,SC,M,Y,48,37.0,0,6600,3300
M,VA,S,N,27,30.0,900,0,0
F,LA,S,N,8,17.0,4500,0,0
M,UT,M,Y,18,37.0,0,4950,2475
F,NC,S,Y,5,32.0,3300,0,3300
M,GA,M,N,39,32.0,0,5400,0
M,FL,M,N,16,0.0,0,0,0
M,MI,M,Y,9,20.0,0,6200,3100
M,OR,M,N,40,48.0,0,318,0
M,NJ,M,Y,27,10.0,0,2000,1500
M,CO,S,Y,9,24.0,0,0,0
F,ID,S,Y,3,18.0,3300,0,3300
F,MT,M,Y,12,37.0,0,3800,1900
F,GA,M,N,1,17.0,0,5400,0
F,ME,S,Y,45,45.0,2850,0,2850
M,NY,S,Y,41,23.0,0,0,1000
M,PA,S,N,22,16.0,0,0,0
F,MO,S,N,17,32.0,2100,0,0
M,ND,S,Y,4,11.0,3300,0,3300
F,NJ,S,Y,46,13.0,1000,0,1500
F,AR,M,N,35,37.0,0,40,0
F,DC,M,Y,23,48.0,0,2740,1370
M,NC,S,Y,6,32.0,3300,0,3300
F,MD,S,Y,47,25.0,2400,0,2400
M,ID,S,Y,3,16.0,3300,0,3300
F,MN,S,Y,44,42.0,3300,0,3300
M,AR,M,N,29,37.0,0,40,0
M,AK,S,N,1,0.0,0,0,0
M,DC,M,Y,41,48.0,0,2740,1370
M,TN,S,Y,28,0.0,0,0,0
M,IL,S,N,34,16.0,2000,0,0
F,AK,M,N,21,0.0,0,0,0
M,WY,S,N,14,0.0,0,0,0
M,CT,S,N,23,26.0,12750,0,0
F,MA,M,Y,49,28.0,0,7150,1000
F,LA,M,Y,19,32.0,0,9000,1000
M,WV,S,Y,7,18.0,2000,0,2000
F,MI,M,Y,45,20.0,0,6200,3100
F,MT,S,Y,5,29.0,1900,0,1900
F,OK,S,Y,19,33.0,1000,0,1000
M,CA,M,N,0,5.0,0,174,0
F,CA,M,Y,46,49.0,0,174,272
F,KY,S,Y,44,32.0,20,0,20
F,CO,S,Y,21,24.0,0,0,0
F,VT,M,N,37,24.0,0,6600,0
F,UT,M,N,27,37.0,0,4950,0
F,NC,M,N,20,35.0,0,6600,0
F,CA,S,N,1,5.0,87,0,0
F,ND,S,N,47,15.0,3300,0,0
F,KY,S,Y,8,15.0,20,0,20
M,IL,M,Y,45,16.0,0,4000,2000
M,AK,S,Y,47,0.0,0,0,0
M,OK,M,Y,43,33.0,0,2000,1000
M,HI,S,Y,41,44.0,1040,0,1040
F,PR,M,Y,0,0.0,0,0,0
F,NM,M,N,42,28.0,0,6600,0
F,IN,M,N,49,18.0,0,2000,0
M,AK,S,Y,13,0.0,0,0,0
M,DC,S,N,27,48.0,1370,0,0
M,ID,M,N,41,41.0,0,6600,0
F,TX,M,Y,16,0.0,0,0,0
M,NJ,S,N,34,11.0,1000,0,0
F,HI,M,N,15,36.0,0,2080,0
M,DE,S,Y,48,31.0,110,0,110
F,IA,S,Y,15,27.0,40,0,40
F,MS,S,Y,17,26.0,6000,0,1500
M,AL,S,N,31,26.0,1500,0,0
F,GA,S,N,45,32.0,2700,0,0
F,WA,S,Y,44,0.0,0,0,0
M,NH,S,N,8,0.0,0,0,0
F,RI,M,Y,26,0.0,0,0,0
F,KY,S,Y,45,32.0,20,0,20
F,NV,S,Y,31,0.0,0,0,0
F,DC,M,Y,31,48.0,0,2740,1370
F,AK,S,Y,12,0.0,0,0,0
M,OH,S,N,14,8.0,1300,0,0
F,IL,S,Y,15,16.0,2000,0,2000
F,NV,S,N,30,0.0,0,0,0
F,AZ,M,Y,11,16.0,0,4200,2300
F,MI,S,Y,16,20.0,3100,0,3100
F,AZ,M,Y,48,22.0,0,4200,2300
F,AK,S,Y,31,0.0,0,0,0
F,TN,M,Y,10,0.0,0,0,0
F,CA,S,Y,1,5.0,87,0,272
M,OR,M,Y,26,48.0,0,318,159
M,NC,S,N,42,40.0,3300,0,0
M,PR,M,Y,49,0.0,0,0,0
M,MD,M,Y,35,25.0,0,4800,2400
M,UT,S,N,32,37.0,2475,0,0
M,MT,M,N,7,37.0,0,3800,0
M,RI,M,N,20,0.0,0,0,0
M,WV,M,Y,15,24.0,0,4000,2000
M,HI,M,Y,33,44.0,0,2080,1040
F,NH,M,N,4,0.0,0,0,0
F,TN,M,Y,8,0.0,0,0,0
M,LA,S,Y,14,32.0,4500,0,1000
M,ND,M,N,36,14.0,0,6600,0
F,GA,S,Y,4,32.0,2700,0,3000
M,OH,S,Y,31,14.0,1300,0,1300
F,MD,S,N,43,25.0,2400,0,0
M,MD,M,Y,2,25.0,0,4800,2400
F,MA,S,N,43,28.0,3575,0,0
F,GA,S,Y,28,32.0,2700,0,3000
M,MO,S,N,23,32.0,2100,0,0
M,ME,M,N,49,45.0,0,5700,0
F,AR,S,Y,2,8.0,20,0,20
M,SC,S,N,33,37.0,3300,0,0
M,WV,S,N,1,16.0,2000,0,0
M,WI,S,N,10,25.0,700,0,0
F,IN,M,Y,25,18.0,0,2000,1000
M,DE,S,N,14,20.0,110,0,0
F,NC,S,Y,49,41.0,3300,0,3300
M,WY,S,N,4,0.0,0,0,0
F,ND,S,N,47,15.0,3300,0,0
M,SD,M,N,29,0.0,0,0,0
M,NH,M,Y,44,0.0,0,0,0
M,NJ,S,Y,36,12.0,1000,0,1500
M,IN,M,N,39,18.0,0,2000,0
M,SC,M,N,42,37.0,0,6600,0
M,NJ,S,N,28,10.0,1000,0,0
F,TX,M,Y,41,0.0,0,0,0
M,SC,M,N,5,34.0,0,6600,0
F,NC,S,N,35,38.0,3300,0,0
M,KS,S,Y,31,34.0,2250,0,2250
F,OH,M,Y,44,18.0,0,2600,1300
F,TX,S,Y,16,0.0,0,0,0
M,IL,S,N,31,16.0,2000,0,0
M,ME,M,Y,38,45.0,0,5700,2850
F,MS,M,N,38,26.0,0,12000,0
F,GA,S,N,4,32.0,2700,0,0
M,DC,M,N,26,48.0,0,2740,0
M,MN,M,N,29,39.0,0,6600,0
M,SC,S,Y,27,37.0,3300,0,3300
F,NY,M,N,21,22.0,0,0,0
F,DE,M,N,27,30.0,0,220,0
F,NJ,S,N,3,7.0,1000,0,0
F,CA,S,N,8,18.0,87,0,0
M,PR,S,N,28,0.0,0,0,0
F,SC,S,N,20,37.0,3300,0,0
M,AL,S,Y,38,26.0,1500,0,300
M,SD,S,Y,2,0.0,0,0,0
F,GA,S,N,34,32.0,2700,0,0
F,WA,M,N,22,0.0,0,0,0
M,ND,M,N,26,12.0,0,6600,0
F,MN,M,Y,14,31.0,0,6600,3300
M,MS,S,Y,13,26.0,6000,0,1500
F,SD,M,Y,35,0.0,0,0,0
M,TN,S,Y,23,0.0,0,0,0
M,ME,M,N,24,45.0,0,5700,0
M,PR,M,Y,14,0.0,0,0,0
F,IA,M,Y,33,48.0,0,80,40
F,PA,M,N,16,16.0,0,0,0
M,VA,S,N,14,30.0,900,0,0
M,GA,S,N,28,32.0,2700,0,0
M,KY,M,N,24,24.0,0,40,0
M,WV,M,Y,9,19.0,0,4000,2000
F,WY,S,N,5,0.0,0,0,0
F,NJ,M,N,31,11.0,0,2000,0
F,MN,S,Y,1,28.0,3300,0,3300
F,TX,M,N,3,0.0,0,0,0
M,CA,M,N,41,49.0,0,174,0
F,WI,S,Y,36,30.0,700,0,400
F,TX,S,Y,48,0.0,0,0,0
M,CA,S,N,27,49.0,87,0,0
M,CT,S,Y,25,26.0,12750,0,0
M,WI,S,N,30,29.0,700,0,0
M,IN,S,Y,49,18.0,1000,0,1000
F,NM,S,Y,46,28.0,3300,0,3300
F,VA,M,N,39,30.0,0,1800,0
M,FL,M,Y,0,0.0,0,0,0
F,NM,M,N,11,28.0,0,6600,0
F,LA,S,Y,27,32.0,4500,0,1000
M,AZ,S,Y,19,17.0,2100,0,2300
F,IL,M,N,12,16.0,0,4000,0
M,TX,S,Y,7,0.0,0,0,0
F,NY,S,Y,27,22.0,0,0,1000
F,VT,M,Y,12,19.0,0,6600,3300
M,KY,S,N,43,32.0,20,0,0
M,ND,M,N,7,11.0,0,6600,0
M,MD,S,Y,2,25.0,2400,0,2400
M,ND,S,Y,5,11.0,3300,0,3300
M,KS,S,Y,46,34.0,2250,0,2250
M,NC,M,Y,22,35.0,0,6600,3300
M,DC,M,Y,48,48.0,0,2740,1370
M,LA,M,N,3,10.0,0,9000,0
F,CT,S,Y,4,16.0,12750,0,0
F,MA,S,Y,4,28.0,3575,0,1000
M,OK,M,Y,8,33.0,0,2000,1000
F,OR,S,N,0,26.0,159,0,0
M,GA,S,Y,47,32.0,2700,0,3000
F,NM,S,Y,6,23.0,3300,0,3300
M,NH,S,Y,2,0.0,0,0,0
F,MD,S,Y,37,25.0,2400,0,2400
F,PR,M,Y,18,0.0,0,0,0
F,HI,M,N,22,44.0,0,2080,0
F,NM,M,Y,25,28.0,0,6600,3300
F,LA,S,N,13,32.0,4500,0,0
F,AZ,S,N,14,17.0,2100,0,0
F,UT,M,Y,46,37.0,0,4950,2475
F,GA,M,N,11,32.0,0,5400,0
F,WI,M,N,32,30.0,0,1400,0
F,SC,M,Y,19,37.0,0,6600,3300
M,CT,S,N,48,26.0,12750,0,0
M,TX,M,Y,25,0.0,0,0,0
F,NM,M,N,14,28.0,0,6600,0
M,NY,S,Y,28,23.0,0,0,1000
F,IN,M,N,11,18.0,0,2000,0
F,NY,M,N,48,24.0,0,0,0
F,WY,M,N,46,0.0,0,0,0
M,NE,S,N,33,36.0,103,0,0
M,WA,S,Y,41,0.0,0,0,0
M,WA,S,Y,29,0.0,0,0,0
M,RI,S,N,31,0.0,0,0,0
F,NY,S,Y,41,23.0,0,0,1000
F,KS,S,N,4,18.0,2250,0,0
F,MN,S,Y,8,28.0,3300,0,3300
F,CA,S,N,34,49.0,87,0,0
M,OH,S,Y,34,15.0,1300,0,1300
M,CA,M,N,8,18.0,0,174,0
M,LA,M,N,17,32.0,0,9000,0
M,WA,M,Y,33,0.0,0,0,0
F,SD,S,Y,2,0.0,0,0,0
F,LA,M,N,39,32.0,0,9000,0
F,IL,S,N,26,16.0,2000,0,0
M,MS,S,N,43,26.0,6000,0,0
F,LA,S,N,34,32.0,4500,0,0
F,MT,M,Y,29,37.0,0,3800,1900
F,RI,S,Y,16,0.0,0,0,0
F,HI,M,Y,12,30.0,0,2080,1040
M,NJ,M,Y,5,7.0,0,2000,1500
M,NV,S,Y,34,0.0,0,0,0
M,AZ,M,N,36,20.0,0,4200,0
F,MT,S,Y,49,37.0,1900,0,1900
M,AL,S,Y,28,26.0,1500,0,300
F,NE,M,Y,13,36.0,0,206,103
F,SD,S,N,47,0.0,0,0,0
M,CO,S,N,26,24.0,0,0,0
F,NC,S,Y,40,39.0,3300,0,3300
M,IL,S,Y,35,16.0,2000,0,2000
M,WA,S,Y,1,0.0,0,0,0
M,MO,S,Y,41,32.0,2100,0,1200
F,MN,S,Y,45,42.0,3300,0,3300
M,FL,M,N,2,0.0,0,0,0
M,WV,S,Y,21,28.0,2000,0,2000
M,TN,S,N,35,0.0,0,0,0
M,SC,M,N,12,37.0,0,6600,0
M,WY,M,N,13,0.0,0,0,0
F,MO,M,Y,41,32.0,0,4200,1200
M,FL,M,N,21,0.0,0,0,0
M,KY,S,N,32,29.0,20,0,0
M,WA,S,N,34,0.0,0,0,0
M,NC,S,Y,12,33.0,3300,0,3300
F,MT,S,N,47,37.0,1900,0,0
F,LA,M,Y,12,32.0,0,9000,1000
F,NV,M,Y,41,0.0,0,0,0
F,DE,S,Y,9,16.0,110,0,110
F,RI,S,Y,31,0.0,0,0,0
M,FL,M,N,47,0.0,0,0,0
M,RI,S,Y,0,0.0,0,0,0
F,AK,S,N,24,0.0,0,0,0
M,DC,S,N,25,48.0,1370,0,0
F,MT,M,Y,22,37.0,0,3800,1900
F,OH,M,N,39,16.0,0,2600,0
M,OK,S,Y,20,33.0,1000,0,1000
F,UT,M,Y,18,37.0,0,4950,2475
M,AR,S,N,17,37.0,20,0,0
M,TN,M,Y,22,0.0,0,0,0
M,MT,S,Y,9,37.0,1900,0,1900
F,NV,M,N,15,0.0,0,0,0
F,GA,S,Y,20,32.0,2700,0,3000
F,MI,M,Y,15,20.0,0,6200,3100
M,KY,S,Y,21,22.0,20,0,20
F,RI,M,Y,20,0.0,0,0,0
F,KY,M,Y,40,32.0,0,40,20
F,MS,S,Y,14,26.0,6000,0,1500
F,TX,M,Y,25,0.0,0,0,0
M,TN,S,N,11,0.0,0,0,0
M,NY,M,Y,36,23.0,0,0,1000
M,PA,S,N,47,16.0,0,0,0
F,DC,M,N,10,38.0,0,2740,0
F,LA,S,Y,12,31.0,4500,0,1000
F,AL,M,N,28,26.0,0,3000,0
F,MA,M,Y,46,28.0,0,7150,1000
F,MO,M,Y,24,32.0,0,4200,1200
M,IA,M,Y,20,35.0,0,80,40
M,IN,S,N,27,18.0,1000,0,0
F,AK,S,N,27,0.0,0,0,0
F,NM,M,N,11,28.0,0,6600,0
F,PR,M,Y,6,0.0,0,0,0
F,NV,M,Y,31,0.0,0,0,0
F,WY,S,Y,33,0.0,0,0,0
F,VT,S,N,24,21.0,3300,0,0
F,HI,S,Y,13,31.0,1040,0,1040
M,RI,M,N,33,0.0,0,0,0
M,CO,M,Y,41,24.0,0,0,0
M,OR,M,N,43,48.0,0,318,0
F,PA,S,Y,5,16.0,0,0,0
M,AL,M,N,26,26.0,0,3000,0
M,NM,M,N,35,28.0,0,6600,0
M,SC,S,N,49,37.0,3300,0,0
M,OK,M,Y,49,33.0,0,2000,1000
M,FL,M,N,30,0.0,0,0,0
M,WY,S,N,36,0.0,0,0,0
M,MT,S,Y,22,37.0,1900,0,1900
F,DE,S,Y,4,13.0,110,0,110
F,TN,S,Y,35,0.0,0,0,0
F,AZ,M,N,13,16.0,0,4200,0
F,ME,S,Y,29,45.0,2850,0,2850
F,ND,M,Y,2,11.0,0,6600,3300
M,MT,S,N,26,37.0,1900,0,0
M,MA,M,Y,32,28.0,0,7150,1000
M,IN,S,N,17,18.0,1000,0,0
F,CA,S,Y,13,32.0,87,0,272
M,OH,M,N,9,6.0,0,2600,0
F,CO,M,Y,7,24.0,0,0,0
M,AZ,S,Y,3,15.0,2100,0,2300
M,VT,S,Y,20,20.0,3300,0,3300
M,SC,M,N,7,37.0,0,6600,0
F,MO,S,Y,27,32.0,2100,0,1200
M,DC,M,N,7,30.0,0,2740,0
F,IN,M,N,46,18.0,0,2000,0
M,SC,M,Y,28,37.0,0,6600,3300
F,MD,S,Y,45,25.0,2400,0,2400
M,WY,M,N,2,0.0,0,0,0
F,MD,M,Y,37,25.0,0,4800,2400
M,MA,M,Y,26,28.0,0,7150,1000
F,CT,S,N,23,26.0,12750,0,0
F,NJ,S,N,3,7.0,1000,0,0
M,SD,S,N,41,0.0,0,0,0
F,RI,S,Y,6,0.0,0,0,0
M,SC,M,N,17,37.0,0,6600,0
M,HI,M,N,20,44.0,0,2080,0
F,RI,M,N,31,0.0,0,0,0
M,WV,S,Y,20,27.0,2000,0,2000
M,DC,M,N,11,39.0,0,2740,0
F,NV,M,N,10,0.0,0,0,0
F,SD,M,N,42,0.0,0,0,0
M,MS,S,N,31,26.0,6000,0,0
F,NV,M,N,40,0.0,0,0,0
M,OR,S,N,45,48.0,159,0,0
M,DE,M,Y,14,20.0,0,220,110
F,UT,M,N,14,37.0,0,4950,0
M,CT,M,Y,16,26.0,0,24500,0
F,WV,S,Y,15,24.0,2000,0,2000
M,IL,M,N,36,16.0,0,4000,0
M,AR,S,N,3,11.0,20,0,0
M,MT,S,N,47,37.0,1900,0,0
F,RI,M,Y,46,0.0,0,0,0
M,MS,S,N,26,26.0,6000,0,0
M,MI,S,Y,11,20.0,3100,0,3100
M,OK,S,Y,10,33.0,1000,0,1000
F,AR,S,Y,25,37.0,20,0,20
F,AR,S,N,6,19.0,20,0,0
F,SC,M,N,5,35.0,0,6600,0
F,OR,M,Y,4,48.0,0,318,159
F,MS,M,Y,33,26.0,0,12000,1500
M,NV,M,Y,27,0.0,0,0,0
F,IL,M,N,4,16.0,0,4000,0
M,WI,M,N,36,30.0,0,1400,0
M,CT,S,N,13,26.0,12750,0,0
M,DC,S,N,1,24.0,1370,0,0
M,OK,S,Y,43,33.0,1000,0,1000
F,TN,M,N,25,0.0,0,0,0
F,AL,S,Y,24,26.0,1500,0,300
M,NJ,M,N,42,13.0,0,2000,0
F,MO,M,Y,39,32.0,0,4200,1200
M,KS,S,N,49,34.0,2250,0,0
F,WA,M,N,22,0.0,0,0,0
F,MO,S,Y,37,32.0,2100,0,1200
F,ID,S,N,14,41.0,3300,0,0
M,IA,M,Y,42,48.0,0,80,40
M,OH,S,Y,28,13.0,1300,0,1300
M,NH,S,N,34,0.0,0,0,0
F,KS,S,N,45,34.0,2250,0,0
M,MT,M,N,4,25.0,0,3800,0
F,FL,M,Y,40,0.0,0,0,0
F,AK,M,N,5,0.0,0,0,0
F,VA,M,Y,34,30.0,0,1800,900
F,CA,S,Y,49,49.0,87,0,272
M,MS,M,N,31,26.0,0,12000,0
M,WY,S,Y,42,0.0,0,0,0
M,DE,S,Y,23,27.0,110,0,110
F,ME,S,Y,9,45.0,2850,0,2850
F,DC,S,N,25,48.0,1370,0,0
M,PR,M,Y,40,0.0,0,0,0
M,TX,S,Y,42,0.0,0,0,0
M,WV,M,N,30,34.0,0,4000,0
M,ND,S,Y,1,11.0,3300,0,3300
M,WY,M,Y,2,0.0,0,0,0
M,MS,S,N,23,26.0,6000,0,0
F,IN,S,Y,3,18.0,1000,0,1000
F,OR,M,N,0,26.0,0,318,0
F,TN,M,Y,9,0.0,0,0,0
F,MD,S,Y,30,25.0,2400,0,2400
M,OR,S,N,8,48.0,159,0,0
F,HI,S,Y,36,44.0,1040,0,1040
F,TN,M,Y,1,0.0,0,0,0
F,VA,S,N,20,30.0,900,0,0
F,AL,S,Y,19,26.0,1500,0,300
F,HI,M,Y,46,44.0,0,2080,1040
F,FL,M,Y,39,0.0,0,0,0
F,KS,M,Y,13,30.0,0,4500,2250
F,VT,S,N,29,22.0,3300,0,0
M,NY,S,N,20,22.0,0,0,0
M,MI,M,N,11,20.0,0,6200,0
F,OH,S,Y,16,8.0,1300,0,1300
M,MD,M,Y,38,25.0,0,4800,2400
M,AL,S,Y,11,26.0,1500,0,300
M,LA,S,Y,41,32.0,4500,0,1000
M,WV,M,Y,41,34.0,0,4000,2000
F,IN,M,Y,12,18.0,0,2000,1000
M,PR,M,Y,38,0.0,0,0,0
F,UT,S,Y,6,37.0,2475,0,2475
F,MI,S,Y,40,20.0,3100,0,3100
M,NJ,M,N,47,13.0,0,2000,0
M,AK,M,Y,33,0.0,0,0,0
F,NJ,M,Y,6,7.0,0,2000,1500
M,CT,S,N,49,26.0,12750,0,0
M,OR,M,Y,11,48.0,0,318,159
M,ID,S,N,43,41.0,3300,0,0
F,GA,M,Y,17,32.0,0,5400,3000
F,VT,M,Y,13,19.0,0,6600,3300
F,DE,M,Y,28,31.0,0,220,110
M,MS,M,Y,2,17.0,0,12000,1500
M,UT,M,N,46,37.0,0,4950,0
F,IL,M,N,14,16.0,0,4000,0
M,CA,S,Y,34,49.0,87,0,272
F,LA,S,Y,44,32.0,4500,0,1000
M,PR,S,Y,18,0.0,0,0,0
F,AK,M,Y,40,0.0,0,0,0
M,MD,M,N,45,25.0,0,4800,0
F,KS,M,N,3,18.0,0,4500,0
F,NM,S,N,24,28.0,3300,0,0
M,PA,S,Y,37,16.0,0,0,0
F,NY,S,N,28,23.0,0,0,0
M,UT,M,N,15,37.0,0,4950,0
M,IN,M,N,1,18.0,0,2000,0
M,AK,M,N,38,0.0,0,0,0
M,MI,S,N,27,20.0,3100,0,0
F,WY,M,Y,22,0.0,0,0,0
M,IN,S,N,12,18.0,1000,0,0
M,KY,M,Y,42,32.0,0,40,20
F,VT,S,Y,1,19.0,3300,0,3300
M,CA,S,N,44,49.0,87,0,0
F,IN,M,N,4,18.0,0,2000,0
F,CT,M,Y,19,26.0,0,24500,0
M,NY,S,Y,2,21.0,0,0,1000
F,ID,S,Y,15,41.0,3300,0,3300
F,AZ,S,N,48,22.0,2100,0,0
F,IL,S,Y,24,16.0,2000,0,2000
F,NE,S,N,43,36.0,103,0,0
M,WV,M,N,42,34.0,0,4000,0
M,DC,M,N,17,48.0,0,2740,0
F,MS,S,Y,0,16.0,6000,0,1500
F,DC,S,Y,34,48.0,1370,0,1370
F,KS,S,N,20,34.0,2250,0,0
M,NY,S,Y,40,23.0,0,0,1000
M,MT,M,N,6,33.0,0,3800,0
F,MA,M,N,8,28.0,0,7150,0
F,OH,S,Y,40,17.0,1300,0,1300
F,VA,M,Y,14,30.0,0,1800,900
F,MD,S,N,7,25.0,2400,0,0
F,CT,S,Y,19,26.0,12750,0,0
M,MO,M,N,25,32.0,0,4200,0
F,SC,M,N,34,37.0,0,6600,0
F,NM,M,Y,40,28.0,0,6600,3300
F,MT,S,Y,8,37.0,1900,0,1900
M,SC,S,N,14,37.0,3300,0,0
F,DC,S,N,39,48.0,1370,0,0
F,WV,S,N,5,16.0,2000,0,0
F,FL,S,Y,47,0.0,0,0,0
M,OH,M,N,37,16.0,0,2600,0
M,NV,M,N,48,0.0,0,0,0
M,CT,M,Y,44,26.0,0,24500,0
F,KS,M,Y,19,34.0,0,4500,2250
F,IN,S,Y,42,18.0,1000,0,1000
M,HI,M,Y,1,8.0,0,2080,1040
F,NC,M,Y,11,33.0,0,6600,3300
M,CO,S,Y,38,24.0,0,0,0
F,MO,S,N,13,32.0,2100,0,0
M,IA,M,N,16,28.0,0,80,0
F,GA,M,Y,39,32.0,0,5400,3000
M,NE,S,N,17,36.0,103,0,0
M,LA,S,N,49,32.0,4500,0,0
F,PR,S,N,45,0.0,0,0,0
M,MI,S,N,25,20.0,3100,0,0
M,TN,S,N,10,0.0,0,0,0
F,FL,S,Y,40,0.0,0,0,0
F,GA,M,Y,46,32.0,0,5400,3000
F,DC,M,Y,7,29.0,0,2740,1370
F,WY,M,N,13,0.0,0,0,0
F,TX,S,N,8,0.0,0,0,0
M,NH,S,Y,0,0.0,0,0,0
M,AK,M,N,27,0.0,0,0,0
M,TN,S,N,32,0.0,0,0,0
M,FL,M,Y,33,0.0,0,0,0
M,DC,S,Y,47,48.0,1370,0,1370
F,OH,S,Y,48,20.0,1300,0,1300
F,ND,M,Y,45,15.0,0,6600,3300
F,CO,S,Y,48,24.0,0,0,0
F,NC,M,Y,35,38.0,0,6600,3300
M,NC,S,N,12,33.0,3300,0,0
F,WV,M,N,8,18.0,0,4000,0
F,IA,M,Y,8,14.0,0,80,40
M,AZ,M,N,6,15.0,0,4200,0
M,MO,M,Y,30,32.0,0,4200,1200
F,FL,M,N,42,0.0,0,0,0
M,UT,S,N,45,37.0,2475,0,0
F,IA,M,N,46,48.0,0,80,0
F,IN,M,Y,43,18.0,0,2000,1000
F,DE,S,N,19,24.0,110,0,0
F,MA,S,Y,33,28.0,3575,0,1000
F,OK,M,Y,7,33.0,0,2000,1000
M,NH,M,Y,43,0.0,0,0,0
M,NJ,S,N,7,7.0,1000,0,0
F,HI,M,Y,18,41.0,0,2080,1040
M,ND,M,N,28,12.0,0,6600,0
F,DC,M,Y,11,41.0,0,2740,1370
F,AR,S,Y,31,37.0,20,0,20
F,FL,S,Y,13,0.0,0,0,0
F,IA,M,Y,31,48.0,0,80,40
M,GA,S,Y,30,32.0,2700,0,3000
F,WA,S,Y,48,0.0,0,0,0
